utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
670828.100	3529872.412	3.075	0.097	3.741	-0.012	0.001	-0.012	0.017	1.022	0.018	0.000	0.000	118.8063092	31.8918617
670828.115	3529872.223	3.075	0.093	3.759	-0.013	-0.002	-0.013	0.112	0.786	-0.128	0.000	0.000	118.8063094	31.8918600
670828.130	3529872.033	3.075	0.083	3.776	-0.034	-0.013	-0.034	-0.198	1.510	-0.197	0.000	0.000	118.8063095	31.8918583
670828.130	3529872.033	3.075	0.079	3.776	-0.008	-0.014	-0.008	0.079	0.730	-0.495	0.000	0.000	118.8063095	31.8918583
670828.146	3529871.840	3.075	0.074	3.793	-0.001	-0.011	-0.001	-0.042	0.689	-0.340	0.000	0.000	118.8063096	31.8918566
670828.146	3529871.840	3.075	-0.014	3.793	0.006	-0.006	0.006	0.009	0.744	-0.049	0.000	0.000	118.8063096	31.8918566
670828.162	3529871.644	3.075	-0.009	3.793	-0.003	-0.002	-0.003	0.104	0.881	0.413	0.000	0.000	118.8063097	31.8918548
670828.177	3529871.446	3.074	-0.009	4.071	-0.010	-0.006	-0.010	-0.039	0.990	0.601	0.000	0.000	118.8063099	31.8918530
670828.177	3529871.446	3.074	0.000	4.071	-0.024	-0.007	-0.024	0.144	0.826	0.375	0.000	0.000	118.8063099	31.8918530
670828.193	3529871.246	3.074	0.005	4.097	-0.010	0.003	-0.010	0.191	0.945	0.073	0.000	0.000	118.8063100	31.8918512
670828.193	3529871.246	3.074	0.009	4.115	-0.004	0.019	-0.004	0.122	0.309	-0.773	0.000	0.000	118.8063100	31.8918512
670828.209	3529871.043	3.074	0.009	4.115	0.012	0.021	0.012	-0.001	1.074	-0.424	0.000	0.000	118.8063101	31.8918494
670828.225	3529870.838	3.074	0.009	4.132	0.013	0.010	0.013	-0.042	0.209	-0.499	0.000	0.000	118.8063103	31.8918475
670828.225	3529870.838	3.074	0.009	4.132	0.006	-0.003	0.006	-0.149	2.176	0.248	0.000	0.000	118.8063103	31.8918475
670828.241	3529870.630	3.074	0.009	4.149	0.009	-0.006	0.009	-0.034	0.325	-0.045	0.000	0.000	118.8063104	31.8918456
