utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
671413.605	3529315.055	2.258	-0.106	3.689	0.003	-0.003	0.003	-0.088	0.552	-0.234	0.000	0.000	118.8123991	31.8867477
671413.749	3529314.940	2.258	-0.097	3.689	0.001	-0.008	0.001	-0.132	0.421	-0.283	0.000	0.000	118.8124006	31.8867466
671413.749	3529314.940	2.258	-0.093	3.707	0.010	-0.010	0.010	0.020	0.403	-0.213	0.000	0.000	118.8124006	31.8867466
671413.894	3529314.825	2.258	-0.083	3.707	0.023	0.017	0.023	0.163	1.284	-0.501	0.000	0.000	118.8124022	31.8867456
671413.894	3529314.825	2.258	-0.083	3.724	0.002	0.015	0.002	-0.036	0.705	-0.214	0.000	0.000	118.8124022	31.8867456
671414.040	3529314.709	2.258	-0.074	3.724	0.013	0.003	0.013	0.099	0.567	0.058	0.000	0.000	118.8124037	31.8867445
671414.188	3529314.591	2.258	-0.069	3.733	0.002	-0.009	0.002	-0.020	0.393	0.475	0.000	0.000	118.8124052	31.8867434
671414.188	3529314.591	2.258	-0.065	3.741	0.008	-0.015	0.008	0.014	0.630	0.588	0.000	0.000	118.8124052	31.8867434
671414.337	3529314.472	2.258	-0.060	3.741	0.001	-0.009	0.001	-0.099	0.437	0.400	0.000	0.000	118.8124068	31.8867423
671414.337	3529314.472	2.258	-0.056	3.950	-0.004	-0.008	-0.004	-0.032	0.474	0.023	0.000	0.000	118.8124068	31.8867423
671414.487	3529314.353	2.258	-0.120	3.950	0.011	-0.004	0.011	0.032	1.457	-0.401	0.000	0.000	118.8124083	31.8867412
671414.639	3529314.232	2.258	-0.116	3.950	-0.004	0.000	-0.004	0.066	0.415	-0.302	0.000	0.000	118.8124099	31.8867401
671414.639	3529314.232	2.258	-0.111	3.958	0.014	0.009	0.014	0.291	0.702	-0.524	0.000	0.000	118.8124099	31.8867401
671414.792	3529314.110	2.258	-0.102	3.976	0.004	0.001	0.004	0.100	0.896	0.012	0.000	0.000	118.8124115	31.8867390
671414.792	3529314.110	2.258	-0.083	3.976	0.010	-0.001	0.010	0.052	0.338	0.065	0.000	0.000	118.8124115	31.8867390
671414.946	3529313.987	2.258	-0.083	3.993	-0.005	-0.013	-0.005	-0.220	0.285	0.419	0.000	0.000	118.8124131	31.8867378
671415.102	3529313.863	2.257	-0.060	3.993	0.020	-0.016	0.020	-0.436	1.878	0.660	0.000	0.000	118.8124148	31.8867367
671415.102	3529313.863	2.257	-0.051	4.002	0.004	-0.009	0.004	-0.152	0.054	0.065	0.000	0.000	118.8124148	31.8867367
671415.258	3529313.738	2.257	-0.037	4.019	-0.001	-0.008	-0.001	-0.212	1.076	0.221	0.000	0.000	118.8124164	31.8867356
671415.258	3529313.738	2.257	-0.028	4.019	0.008	-0.005	0.008	-0.052	0.063	-0.317	0.000	0.000	118.8124164	31.8867356
671415.417	3529313.612	2.257	-0.019	4.036	-0.005	-0.001	-0.005	-0.108	1.060	-0.066	0.000	0.000	118.8124180	31.8867344
671415.577	3529313.485	2.257	0.014	4.036	0.013	-0.001	0.013	0.233	0.350	-0.132	0.000	0.000	118.8124197	31.8867332
671415.577	3529313.485	2.257	0.019	4.036	-0.028	0.011	-0.028	0.376	0.995	0.198	0.000	0.000	118.8124197	31.8867332
671415.738	3529313.357	2.257	0.019	4.219	0.011	0.006	0.011	0.202	0.295	0.184	0.000	0.000	118.8124214	31.8867321
671415.738	3529313.357	2.257	0.019	4.219	0.016	-0.002	0.016	0.021	1.645	0.284	0.000	0.000	118.8124214	31.8867321
671415.900	3529313.228	2.257	0.019	4.236	-0.009	-0.003	-0.009	0.003	0.232	0.153	0.000	0.000	118.8124231	31.8867309
671415.900	3529313.228	2.257	0.019	4.236	-0.001	-0.004	-0.001	-0.091	1.026	0.164	0.000	0.000	118.8124231	31.8867309
671416.064	3529313.098	2.256	0.019	4.245	0.008	-0.012	0.008	-0.247	0.334	-0.550	0.000	0.000	118.8124248	31.8867297
671416.228	3529312.968	2.256	0.023	4.253	-0.004	-0.010	-0.004	-0.134	1.024	-0.171	0.000	0.000	118.8124265	31.8867285
671416.228	3529312.968	2.256	0.023	4.253	0.019	-0.000	0.019	0.078	0.260	-0.421	0.000	0.000	118.8124265	31.8867285
671416.394	3529312.837	2.256	0.019	4.271	-0.018	0.015	-0.018	0.025	0.654	-0.243	0.000	0.000	118.8124282	31.8867273
671416.561	3529312.706	2.256	0.019	4.271	0.030	0.014	0.030	0.075	0.257	-0.098	0.000	0.000	118.8124300	31.8867261
671416.561	3529312.706	2.256	0.014	4.280	0.028	0.003	0.028	-0.005	0.370	0.578	0.000	0.000	118.8124300	31.8867261
671416.730	3529312.574	2.256	0.162	4.280	-0.013	-0.013	-0.013	-0.024	0.246	0.507	0.000	0.000	118.8124317	31.8867248
